instance_idx,has_recourse,age_group,subgroup
4937,1,young,male
699,1,young,male
1409,0,young,male
4951,0,young,male
5211,1,young,male
3138,0,young,male
2000,1,young,male
321,0,young,male
809,0,young,male
3119,0,young,male
4848,1,young,male
5274,1,young,male
5137,0,young,male
3734,1,young,male
5110,1,young,male
839,1,young,male
5308,1,young,male
1697,1,young,male
1080,1,young,male
2837,0,young,male
731,1,young,male
2919,1,young,male
5455,1,young,male
2737,1,young,male
2764,0,young,male
755,0,young,male
2641,1,young,male
5329,0,young,male
2599,1,young,male
721,1,young,male
2983,1,young,male
4962,0,young,male
4097,1,young,male
5139,1,young,male
2581,0,young,male
634,0,young,male
87,1,young,male
2040,1,young,male
64,0,young,male
895,1,young,male
1144,1,young,male
3471,1,young,male
3557,0,young,male
2111,0,young,male
1671,1,young,male
1154,1,young,male
2836,0,young,male
5342,1,young,male
1724,1,young,male
2922,1,young,male
3219,1,young,male
322,0,young,male
1593,0,young,male
1563,1,young,male
2720,1,young,male
3794,1,young,male
2590,1,young,male
831,1,young,male
486,1,young,male
2824,0,young,male
794,0,young,male
22,0,young,male
5424,1,young,male
5179,1,young,male
2291,1,young,male
5000,1,young,male
1246,1,young,male
786,1,young,male
2409,0,young,male
2707,1,young,male
3222,1,young,male
105,0,young,male
3818,0,young,male
4073,1,young,male
4890,1,young,male
3401,1,young,male
3516,1,young,male
3172,0,young,male
1551,0,young,male
3696,1,young,male
1413,0,young,male
1976,0,young,male
859,0,young,male
2563,1,young,male
2360,1,young,male
4461,0,young,male
81,1,young,male
4568,0,young,male
4873,0,young,male
5030,1,young,male
850,0,young,male
3811,1,young,male
4740,1,young,male
4550,1,young,male
3286,1,young,male
1156,1,young,male
5434,1,young,male
2306,0,young,male
2366,0,young,male
1573,1,young,male
3288,1,young,male
1484,1,young,male
777,1,young,male
3975,0,young,male
4197,1,young,male
3190,1,young,male
3647,1,young,male
1880,0,young,male
3753,1,young,male
2198,1,young,male
747,1,young,male
2661,0,young,male
5090,0,young,male
2789,0,young,male
696,1,young,male
1926,1,young,male
669,0,young,male
1621,0,young,male
647,1,young,male
149,0,young,male
3263,1,young,male
1453,1,young,male
4645,1,young,male
4107,1,young,male
888,0,young,male
4384,0,young,male
1238,1,young,male
3371,0,young,male
3576,1,young,male
335,0,young,male
7,0,young,male
5377,1,young,male
3019,1,young,male
5238,1,young,male
2367,1,young,male
245,0,young,male
3825,0,young,male
2654,0,young,male
893,1,young,male
5286,1,young,male
1897,1,young,male
193,0,young,male
2754,1,young,male
2952,1,young,male
1501,1,young,male
4960,0,young,male
2643,0,young,male
4703,0,young,male
2817,1,young,male
1977,0,young,male
3517,0,young,male
618,1,young,male
3554,1,young,male
563,1,young,male
927,0,young,male
5332,1,young,male
1152,1,young,male
2647,1,young,male
5461,0,young,male
4193,1,young,male
3804,0,young,male
2369,1,young,male
4630,0,young,male
3296,0,young,male
5044,1,young,male
3397,1,young,male
4222,0,young,male
698,1,young,male
2700,1,young,male
1881,0,young,male
2905,1,young,male
5372,0,young,male
1564,1,young,male
1308,1,young,male
4071,0,young,male
2112,0,young,male
2750,1,young,male
4909,0,young,male
4358,1,young,male
3888,1,young,male
4112,1,young,male
5067,1,young,male
3998,1,young,male
1215,0,young,male
1486,1,young,male
3631,1,young,male
73,0,young,male
4631,0,young,male
215,1,young,male
1828,1,young,male
3971,1,young,male
637,0,young,male
5136,1,young,male
3042,1,young,male
3969,1,young,male
4345,1,young,male
2879,0,young,male
581,0,young,male
4004,0,young,male
280,1,young,male
3846,0,young,male
3604,0,young,male
4899,0,young,male
539,1,young,male
3656,1,young,male
2520,1,young,male
5219,0,young,male
3281,1,young,male
4105,1,young,male
1577,1,young,male
1333,0,young,male
3250,1,young,male
3076,0,young,male
3926,0,young,male
1854,1,young,male
329,1,young,male
1195,1,young,male
4854,1,young,male
1835,0,young,male
3782,1,young,male
2517,0,young,male
638,1,young,male
2965,0,young,male
2453,0,young,male
266,0,young,male
