instance_idx,has_recourse,age_group,subgroup
10165,0,young,total
2194,0,young,total
6499,0,young,total
12527,0,young,total
10819,1,young,total
1864,1,young,total
1120,1,young,total
2316,1,young,total
7756,1,young,total
12680,1,young,total
775,0,young,total
15815,0,young,total
14024,0,young,total
14167,1,young,total
9065,1,young,total
7966,1,young,total
5725,1,young,total
11094,1,young,total
5064,1,young,total
13947,1,young,total
8343,1,young,total
18707,1,young,total
10529,1,young,total
6675,0,young,total
15596,1,young,total
10549,0,young,total
9097,1,young,total
8907,1,young,total
15217,1,young,total
3917,1,young,total
11818,1,young,total
10205,0,young,total
3246,1,young,total
2488,0,young,total
8403,1,young,total
12440,1,young,total
5293,1,young,total
19707,0,young,total
19992,0,young,total
19989,1,young,total
13478,1,young,total
9419,1,young,total
1531,1,young,total
6748,1,young,total
20703,1,young,total
10606,1,young,total
20106,1,young,total
4799,1,young,total
16205,1,young,total
21076,1,young,total
626,0,young,total
16147,1,young,total
1844,1,young,total
18030,0,young,total
4115,0,young,total
11811,1,young,total
4990,1,young,total
13233,0,young,total
18656,1,young,total
247,1,young,total
5959,0,young,total
1951,1,young,total
587,0,young,total
21019,0,young,total
10530,1,young,total
17189,1,young,total
3593,1,young,total
6752,1,young,total
20961,1,young,total
6986,1,young,total
1494,1,young,total
16148,1,young,total
17717,1,young,total
4679,1,young,total
10940,1,young,total
6179,1,young,total
10968,1,young,total
5267,0,young,total
3566,0,young,total
1842,1,young,total
18185,1,young,total
1813,1,young,total
7033,1,young,total
9078,1,young,total
8917,0,young,total
1460,0,young,total
17651,1,young,total
11456,1,young,total
1025,1,young,total
8758,0,young,total
4611,0,young,total
2234,1,young,total
11815,1,young,total
5473,1,young,total
5610,1,young,total
167,1,young,total
9696,1,young,total
446,1,young,total
10040,1,young,total
21045,1,young,total
5351,1,young,total
7741,0,young,total
20664,1,young,total
7318,1,young,total
3263,1,young,total
2422,1,young,total
2013,0,young,total
11484,1,young,total
93,1,young,total
13002,1,young,total
14166,1,young,total
557,1,young,total
16859,1,young,total
