instance_idx,has_recourse,age_group,subgroup
8636,1,young,total
1104,1,young,total
9500,1,young,total
5980,1,young,total
4274,1,young,total
5350,0,young,total
4651,1,young,total
2762,1,young,total
11790,1,young,total
744,1,young,total
1759,1,young,total
4599,1,young,total
3880,1,young,total
9926,0,young,total
10958,1,young,total
1434,1,young,total
10458,1,young,total
8109,1,young,total
12707,1,young,total
1861,0,young,total
1809,1,young,total
3681,0,young,total
6155,0,young,total
3207,1,young,total
6029,0,young,total
11036,0,young,total
1816,1,young,total
13159,1,young,total
169,0,young,total
7574,1,young,total
11125,1,young,total
6599,1,young,total
12260,1,young,total
3119,1,young,total
13313,0,young,total
1790,0,young,total
7801,1,young,total
8955,1,young,total
3423,0,young,total
1811,1,young,total
8172,1,young,total
2206,1,young,total
5188,1,young,total
1763,1,young,total
4242,1,young,total
1778,0,young,total
1703,0,young,total
6318,0,young,total
12053,1,young,total
8507,1,young,total
7130,1,young,total
899,1,young,total
6598,1,young,total
8849,1,young,total
11858,1,young,total
12644,1,young,total
202,1,young,total
11782,1,young,total
280,0,young,total
13148,1,young,total
11783,1,young,total
15,1,young,total
466,1,young,total
8315,1,young,total
10775,1,young,total
1435,1,young,total
5277,1,young,total
11286,1,young,total
8557,1,young,total
5690,1,young,total
8663,0,young,total
11174,1,young,total
661,1,young,total
10457,0,young,total
5503,1,young,total
8711,1,young,total
1122,1,young,total
5054,1,young,total
13182,1,young,total
3201,1,young,total
10312,1,young,total
9211,1,young,total
8371,1,young,total
567,1,young,total
1313,1,young,total
13022,1,young,total
13336,0,young,total
3809,0,young,total
2310,1,young,total
1466,1,young,total
4271,1,young,total
619,1,young,total
409,1,young,total
1620,1,young,total
11955,1,young,total
8940,1,young,total
818,1,young,total
1866,1,young,total
8785,0,young,total
3454,1,young,total
13221,1,young,total
10053,0,young,total
2361,1,young,total
6539,0,young,total
11610,0,young,total
11272,1,young,total
11825,0,young,total
6335,0,young,total
2854,1,young,total
10827,1,young,total
92,1,young,total
1232,1,young,total
5058,1,young,total
3654,1,young,total
11515,1,young,total
9895,1,young,total
351,0,young,total
12276,1,young,total
12667,0,young,total
10387,1,young,total
61,0,young,total
455,1,young,total
12900,1,young,total
1497,1,young,total
12471,0,young,total
7311,1,young,total
4853,0,young,total
1574,0,young,total
3066,0,young,total
8233,1,young,total
6129,1,young,total
706,1,young,total
5328,1,young,total
5309,1,young,total
665,1,young,total
145,1,young,total
12161,1,young,total
2988,1,young,total
6262,0,young,total
12500,1,young,total
3216,1,young,total
3137,1,young,total
6531,1,young,total
4076,1,young,total
12362,0,young,total
11517,1,young,total
9785,0,young,total
4293,0,young,total
4820,0,young,total
6207,0,young,total
11884,1,young,total
3881,1,young,total
9264,1,young,total
8773,0,young,total
4669,1,young,total
6326,1,young,total
2989,1,young,total
5570,1,young,total
3930,1,young,total
8963,1,young,total
4219,1,young,total
9294,0,young,total
7978,1,young,total
1865,1,young,total
10822,1,young,total
4567,1,young,total
9214,1,young,total
10130,0,young,total
