instance_idx,has_recourse,age_group,subgroup
8773,1,young,female
1609,1,young,female
3842,1,young,female
726,0,young,female
7463,1,young,female
7157,0,young,female
3214,1,young,female
3207,1,young,female
8706,0,young,female
3346,0,young,female
8596,1,young,female
1439,1,young,female
4267,0,young,female
6849,1,young,female
907,1,young,female
2982,1,young,female
5743,1,young,female
1468,1,young,female
222,1,young,female
5892,0,young,female
6064,0,young,female
5411,1,young,female
4121,1,young,female
1183,1,young,female
2979,1,young,female
4263,1,young,female
3092,0,young,female
8167,1,young,female
7895,1,young,female
5580,1,young,female
2598,0,young,female
5256,1,young,female
6277,0,young,female
2026,1,young,female
8801,1,young,female
1663,1,young,female
7082,1,young,female
6594,1,young,female
6646,0,young,female
8804,0,young,female
4701,1,young,female
3120,1,young,female
1682,1,young,female
1475,0,young,female
767,1,young,female
2529,1,young,female
6242,1,young,female
1625,1,young,female
5004,1,young,female
8688,1,young,female
331,1,young,female
4851,0,young,female
7165,1,young,female
62,1,young,female
428,1,young,female
5825,0,young,female
6029,1,young,female
1184,1,young,female
6980,1,young,female
1754,1,young,female
5060,1,young,female
7769,1,young,female
1715,1,young,female
1876,0,young,female
7581,0,young,female
593,1,young,female
3744,0,young,female
3973,1,young,female
3786,1,young,female
927,0,young,female
4545,1,young,female
8689,1,young,female
2320,1,young,female
3559,1,young,female
8723,1,young,female
5881,0,young,female
563,1,young,female
1042,1,young,female
7959,0,young,female
2457,0,young,female
2037,1,young,female
7954,1,young,female
1201,0,young,female
2568,1,young,female
577,0,young,female
411,1,young,female
1372,1,young,female
2820,1,young,female
4737,0,young,female
737,1,young,female
1812,1,young,female
6185,1,young,female
4593,1,young,female
6265,0,young,female
8668,1,young,female
5201,1,young,female
8535,1,young,female
7180,1,young,female
143,0,young,female
975,0,young,female
6248,1,young,female
3235,0,young,female
7760,1,young,female
8422,1,young,female
407,1,young,female
8353,0,young,female
2732,1,young,female
6363,1,young,female
117,1,young,female
423,1,young,female
6790,1,young,female
1291,1,young,female
4442,1,young,female
5248,1,young,female
1350,1,young,female
2434,0,young,female
7164,1,young,female
4286,0,young,female
715,0,young,female
8577,1,young,female
4564,0,young,female
4526,0,young,female
594,1,young,female
165,0,young,female
6700,1,young,female
6264,1,young,female
2415,1,young,female
2194,1,young,female
5304,1,young,female
8408,0,young,female
2537,0,young,female
2458,1,young,female
2958,1,young,female
7953,0,young,female
6123,1,young,female
6924,1,young,female
7998,0,young,female
6576,0,young,female
7095,1,young,female
3153,1,young,female
8118,0,young,female
2424,0,young,female
4047,1,young,female
4264,0,young,female
8210,1,young,female
3603,0,young,female
1808,0,young,female
8585,1,young,female
7971,1,young,female
1488,1,young,female
4407,1,young,female
2541,0,young,female
4744,1,young,female
6973,1,young,female
8522,0,young,female
4945,1,young,female
7365,1,young,female
6953,1,young,female
3704,0,young,female
6816,1,young,female
6365,1,young,female
882,0,young,female
2977,1,young,female
6552,0,young,female
3854,1,young,female
8858,1,young,female
4833,0,young,female
1260,1,young,female
2438,1,young,female
8790,1,young,female
4308,1,young,female
160,1,young,female
6455,0,young,female
8561,1,young,female
3357,0,young,female
3130,1,young,female
230,0,young,female
6136,1,young,female
2203,1,young,female
1740,0,young,female
6131,0,young,female
5676,0,young,female
3600,1,young,female
8450,1,young,female
5037,1,young,female
5214,1,young,female
4235,0,young,female
7879,1,young,female
1866,0,young,female
4730,1,young,female
3525,1,young,female
4268,1,young,female
3119,0,young,female
94,0,young,female
1945,1,young,female
1422,0,young,female
4840,1,young,female
2567,1,young,female
2073,0,young,female
3033,1,young,female
6768,1,young,female
7150,0,young,female
2101,1,young,female
5535,1,young,female
1395,1,young,female
564,1,young,female
890,0,young,female
3052,1,young,female
2553,1,young,female
5668,1,young,female
4365,1,young,female
4061,0,young,female
1386,1,young,female
5210,1,young,female
7461,0,young,female
5229,0,young,female
8406,1,young,female
7048,0,young,female
4798,1,young,female
2583,1,young,female
3095,1,young,female
7988,1,young,female
1838,1,young,female
7501,0,young,female
4704,1,young,female
8362,1,young,female
7547,1,young,female
4868,0,young,female
5977,0,young,female
6736,1,young,female
4073,1,young,female
5348,1,young,female
6348,1,young,female
8491,1,young,female
6336,1,young,female
2692,0,young,female
895,1,young,female
240,1,young,female
6681,1,young,female
4125,1,young,female
6148,1,young,female
5800,1,young,female
2450,1,young,female
3960,1,young,female
8106,0,young,female
7367,0,young,female
6138,0,young,female
6001,1,young,female
2533,0,young,female
8347,1,young,female
8575,1,young,female
8617,1,young,female
8070,0,young,female
4887,1,young,female
8182,1,young,female
7717,0,young,female
3554,1,young,female
2955,1,young,female
4281,1,young,female
5424,1,young,female
4877,1,young,female
2477,1,young,female
2550,1,young,female
4752,1,young,female
8359,0,young,female
6134,1,young,female
2646,1,young,female
7207,1,young,female
2391,1,young,female
6625,0,young,female
2834,1,young,female
6513,1,young,female
951,1,young,female
8322,0,young,female
1355,1,young,female
1828,0,young,female
5130,0,young,female
4130,1,young,female
3377,1,young,female
271,1,young,female
796,1,young,female
633,1,young,female
3630,1,young,female
3021,1,young,female
7061,1,young,female
6181,1,young,female
4733,0,young,female
2052,0,young,female
1100,1,young,female
5087,1,young,female
6647,1,young,female
6769,1,young,female
3937,0,young,female
914,1,young,female
6899,1,young,female
4490,1,young,female
6109,1,young,female
5372,1,young,female
7322,0,young,female
118,1,young,female
5941,0,middle,female
2014,1,middle,female
4845,1,middle,female
2301,1,middle,female
1105,1,middle,female
1049,1,middle,female
1711,1,middle,female
383,0,middle,female
2593,0,middle,female
1413,1,middle,female
6447,1,middle,female
4751,1,middle,female
4169,1,middle,female
3213,0,middle,female
5861,1,middle,female
3714,1,middle,female
6685,1,middle,female
460,0,middle,female
6381,0,middle,female
6287,0,middle,female
5040,0,middle,female
1931,1,middle,female
7199,1,middle,female
1494,0,middle,female
1146,0,middle,female
8273,1,middle,female
8741,0,middle,female
5495,1,middle,female
1634,1,middle,female
6404,1,middle,female
5766,1,middle,female
8285,0,middle,female
435,0,middle,female
6002,1,middle,female
6758,1,middle,female
1520,1,middle,female
8370,1,middle,female
4920,0,middle,female
4261,0,middle,female
391,1,middle,female
192,1,middle,female
1352,1,middle,female
6067,1,middle,female
8017,0,middle,female
4335,1,middle,female
6977,1,middle,female
2326,1,middle,female
5443,1,middle,female
4919,1,middle,female
4941,1,middle,female
4827,1,middle,female
3248,0,middle,female
2535,0,middle,female
8094,1,middle,female
5179,1,middle,female
5933,1,middle,female
753,0,middle,female
2340,0,middle,female
3801,1,middle,female
504,0,middle,female
1980,0,middle,female
7249,1,middle,female
6591,0,middle,female
6693,1,middle,female
2492,1,middle,female
4531,1,middle,female
3547,1,middle,female
3233,1,middle,female
336,1,middle,female
8395,0,middle,female
1279,1,middle,female
3492,1,middle,female
1698,0,middle,female
2206,0,middle,female
1461,0,middle,female
1627,1,middle,female
8125,1,middle,female
1503,0,middle,female
7062,1,middle,female
3331,1,middle,female
3775,1,middle,female
4869,1,middle,female
511,0,middle,female
1219,0,middle,female
1569,0,middle,female
2090,1,middle,female
2913,1,middle,female
3164,1,middle,female
994,0,middle,female
473,1,middle,female
105,0,middle,female
8662,1,middle,female
1647,1,middle,female
5969,1,middle,female
8475,1,middle,female
943,0,middle,female
3179,0,middle,female
2264,0,middle,female
727,1,middle,female
2543,0,middle,female
5043,1,middle,female
6713,0,middle,female
3847,0,middle,female
4678,0,middle,female
1313,1,middle,female
2615,0,middle,female
5077,0,middle,female
5094,1,middle,female
8536,1,middle,female
5959,1,middle,female
1880,0,middle,female
4052,1,middle,female
1470,0,middle,female
6291,1,middle,female
2561,0,middle,female
5044,0,middle,female
6534,1,middle,female
