instance_idx,has_recourse,age_group,subgroup
5626,0,middle,total
10860,1,middle,total
11021,1,middle,total
2644,0,middle,total
7693,1,middle,total
8799,1,middle,total
1364,0,middle,total
14158,0,middle,total
6929,1,middle,total
13953,0,middle,total
1632,0,middle,total
8616,1,middle,total
9469,1,middle,total
801,0,middle,total
7344,1,middle,total
2481,0,middle,total
5401,0,middle,total
8797,1,middle,total
8536,1,middle,total
9522,1,middle,total
4318,1,middle,total
9494,0,middle,total
10361,0,middle,total
13267,0,middle,total
305,1,middle,total
2241,1,middle,total
1642,0,middle,total
2210,0,middle,total
10989,0,middle,total
243,0,middle,total
5103,0,middle,total
9272,0,middle,total
3046,0,middle,total
7821,0,middle,total
13143,0,middle,total
13105,1,middle,total
12411,0,middle,total
10798,0,middle,total
10172,0,middle,total
3858,0,middle,total
11029,0,middle,total
6763,1,middle,total
11363,0,middle,total
5439,0,middle,total
9450,1,middle,total
6356,1,middle,total
5621,1,middle,total
9033,0,middle,total
1308,1,middle,total
6132,0,middle,total
11775,0,middle,total
13162,1,middle,total
7421,0,middle,total
12843,1,middle,total
3532,1,middle,total
4082,0,middle,total
1526,0,middle,total
1193,1,middle,total
234,1,middle,total
3658,1,middle,total
7475,1,middle,total
9415,0,middle,total
11692,0,middle,total
5849,1,middle,total
7127,0,middle,total
1161,1,middle,total
3378,1,middle,total
10306,1,middle,total
4279,1,middle,total
11175,0,middle,total
9840,0,middle,total
11711,1,middle,total
6147,1,middle,total
7212,1,middle,total
13310,1,middle,total
5620,1,middle,total
10945,1,middle,total
2101,1,middle,total
6869,1,middle,total
12150,1,middle,total
14279,1,middle,total
12565,0,middle,total
2636,0,middle,total
6435,0,middle,total
14214,0,middle,total
11290,0,middle,total
7953,0,middle,total
1551,0,middle,total
11382,1,middle,total
1900,1,middle,total
8781,0,middle,total
1486,0,middle,total
11368,1,middle,total
2684,0,middle,total
5930,1,middle,total
1624,0,middle,total
4223,0,middle,total
9759,1,middle,total
12957,0,middle,total
14154,1,middle,total
5773,1,middle,total
2469,0,middle,total
4247,0,middle,total
10876,1,middle,total
10706,0,middle,total
593,0,middle,total
12078,1,middle,total
2198,0,middle,total
1084,0,middle,total
5685,1,middle,total
10716,1,middle,total
4772,0,middle,total
1369,0,middle,total
7863,1,middle,total
9092,0,middle,total
7900,0,middle,total
952,1,middle,total
11216,1,middle,total
10445,0,middle,total
9535,0,middle,total
975,1,middle,total
7292,1,middle,total
4999,1,middle,total
6303,0,middle,total
2959,0,middle,total
2928,0,middle,total
8576,0,middle,total
8076,0,middle,total
10641,0,middle,total
2203,0,middle,total
12210,1,middle,total
10212,0,middle,total
5454,1,middle,total
11008,0,middle,total
6749,1,middle,total
3968,0,middle,total
10635,0,middle,total
10837,1,middle,total
981,0,middle,total
8991,1,middle,total
11154,1,middle,total
13206,1,middle,total
10100,0,middle,total
9457,0,middle,total
1353,1,middle,total
8434,1,middle,total
2914,0,middle,total
4813,0,middle,total
11006,1,middle,total
1159,0,middle,total
10333,1,middle,total
13746,0,middle,total
4320,0,middle,total
3182,1,middle,total
13720,0,middle,total
10814,0,middle,total
4656,1,middle,total
985,0,middle,total
663,1,middle,total
10874,1,middle,total
6396,0,middle,total
10559,1,middle,total
9334,0,middle,total
11920,1,middle,total
5445,0,middle,total
8518,0,middle,total
12450,0,middle,total
8892,1,middle,total
11329,0,middle,total
10744,0,middle,total
10525,0,middle,total
12947,1,middle,total
7123,1,middle,total
2313,0,middle,total
4895,1,middle,total
9316,0,middle,total
12713,1,middle,total
1049,1,middle,total
10735,1,middle,total
10458,1,middle,total
4347,0,middle,total
10085,1,middle,total
9477,1,middle,total
4331,0,middle,total
4389,0,middle,total
2602,0,middle,total
1390,1,middle,total
12293,0,middle,total
4075,1,middle,total
5341,1,middle,total
12870,1,middle,total
2933,1,middle,total
7363,1,middle,total
1271,0,middle,total
5472,0,middle,total
11719,1,middle,total
5966,1,middle,total
13359,0,middle,total
293,0,middle,total
2619,1,middle,total
2322,0,middle,total
9603,0,middle,total
5075,0,middle,total
8061,0,middle,total
8152,1,middle,total
14189,0,middle,total
14135,0,middle,total
607,1,middle,total
3561,1,middle,total
13130,1,middle,total
5299,0,middle,total
13980,0,middle,total
2991,1,middle,total
3208,1,middle,total
5514,0,middle,total
2072,1,middle,total
4703,0,middle,total
7267,1,middle,total
10203,1,middle,total
2799,0,middle,total
12337,1,middle,total
8742,1,middle,total
9612,0,middle,total
13171,1,middle,total
4190,0,middle,total
2526,0,middle,total
8164,0,middle,total
7269,1,middle,total
4482,1,middle,total
2304,0,middle,total
4474,1,middle,total
8003,0,middle,total
