AUROC,AUPRC,Brier,Sensitivity,Specificity,Disease,Model,CV_AUROC,N_train,N_test
0.7779,0.6187,0.1925,0.7232,0.6869,Hypertension,XGBoost,0.7826,11488,2873
0.7759,0.6088,0.1923,0.7168,0.6889,Hypertension,LightGBM,0.7823,11488,2873
0.7751,0.6005,0.1894,0.7168,0.7084,Hypertension,RandomForest,0.7769,11488,2873
0.8511,0.5885,0.1616,0.831,0.737,Diabetes,XGBoost,0.8474,10815,2704
0.8485,0.5863,0.1608,0.8172,0.7365,Diabetes,LightGBM,0.8463,10815,2704
0.8496,0.5874,0.1536,0.7711,0.7647,Diabetes,RandomForest,0.839,10815,2704
0.7119,0.4828,0.2163,0.7016,0.6148,Dyslipidemia,XGBoost,0.7047,17025,4257
0.7087,0.4814,0.2157,0.6969,0.6131,Dyslipidemia,LightGBM,0.7038,17025,4257
0.7078,0.4792,0.2133,0.6876,0.6313,Dyslipidemia,RandomForest,0.7024,17025,4257
