,Total,Young (19–44),Middle (45–64),Elderly (65+),p-value (K-W)
N,13519,5334,4693,3492,
Age (years),50.4 ± 17.5,32.0 ± 7.5,54.8 ± 5.9,72.5 ± 5.1,<0.001
BMI (kg/m²),23.5 ± 3.4,23.0 ± 3.6,23.7 ± 3.3,24.0 ± 3.1,<0.001
Waist circumference (cm),81.9 ± 10.4,78.3 ± 10.3,82.7 ± 9.8,86.3 ± 9.2,<0.001
Body weight (kg),63.0 ± 11.8,64.2 ± 12.9,63.4 ± 11.3,60.7 ± 10.0,<0.001
Sugar intake (g),53.6 ± 33.4,54.3 ± 34.1,56.8 ± 33.8,48.2 ± 31.2,<0.001
Carbohydrate intake (g),246.7 ± 92.8,233.9 ± 92.3,253.9 ± 92.3,256.5 ± 92.1,<0.001
Energy intake (kcal),1722.3 ± 653.7,1785.4 ± 688.7,1756.0 ± 648.1,1580.6 ± 581.1,<0.001
Prevalence (%),24.1%,3.0%,27.4%,51.8%,
Female (%),59.7%,61.4%,61.2%,55.0%,
Current smoking,"1,566 (11.6%)",629 (11.8%),641 (13.7%),296 (8.5%),
Aerobic PA practice,"6,261 (46.3%)","3,029 (56.8%)","2,100 (44.7%)","1,132 (32.4%)",
Health checkup (past year),"9,710 (71.8%)","3,372 (63.2%)","3,737 (79.6%)","2,601 (74.5%)",
