Disease,Subgroup,N_train,N_test,N_features,CV_AUROC,AUROC,AUPRC,Brier,Sensitivity,Specificity
Hypertension,total,11488,2873,13,0.7826,0.7779,0.6187,0.1925,0.7232,0.6869
Hypertension,male,4383,1096,13,0.7364,0.7483,0.6501,0.203,0.6878,0.685
Hypertension,female,7105,1777,13,0.7991,0.7948,0.5877,0.1819,0.7131,0.7412
Diabetes,total,10815,2704,14,0.8474,0.8511,0.5885,0.1616,0.831,0.737
Diabetes,male,4362,1091,14,0.8055,0.8392,0.6504,0.1673,0.8171,0.7208
Diabetes,female,6452,1614,14,0.8649,0.8756,0.5799,0.1422,0.8328,0.7831
Dyslipidemia,total,17025,4257,13,0.7047,0.7119,0.4828,0.2163,0.7016,0.6148
Dyslipidemia,male,7128,1783,13,0.6583,0.663,0.3927,0.2267,0.6603,0.564
Dyslipidemia,female,9896,2475,13,0.7218,0.741,0.523,0.2084,0.7656,0.6081
